symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,first_hit,R_multiple,start_value,end_value,total_return_amount,total_return_pct,max_drawdown_amount,max_drawdown_pct,daily_vol,return_risk_ratio,n_days
SPXUSD,2024-06-11,1,bullish,S1_NY: 5m retrace + 1m BOS,2024-06-11 13:40:00+00:00,5347.259,5344.494,5350.486,5364.656,,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-06-11,2,bullish,S2_NY: 5m retrace + 1m BOS,2024-06-11 13:40:00+00:00,5347.259,5344.494,5350.486,5364.656,,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-06-12,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-06-12 13:41:00+00:00,5415.599,5418.84,5381.43,5376.771,5371.486,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-06-12,3,bearish,S3_NY: 5m retrace + 1m BOS,2024-06-12 13:41:00+00:00,5415.599,5418.84,5411.584,5376.771,5371.486,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-06-13,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-06-13 13:59:00+00:00,5435.224,5436.232,5429.801,5419.09,,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-06-13,2,bearish,S2_NY: 5m retrace + 1m BOS,2024-06-13 13:59:00+00:00,5435.224,5436.232,5429.801,5419.09,,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-06-17,2,bullish,S2_NY: 5m retrace + 1m BOS,2024-06-17 14:05:00+00:00,5425.614,5424.617,5432.677,5438.677,,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-06-26,2,bullish,S2_NY: 5m retrace + 1m BOS,2024-06-26 13:51:00+00:00,5461.284,5460.524,5466.12,5486.192,,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-06-27,1,bearish,S1_NY: 5m retrace + 1m BOS,2024-06-27 13:54:00+00:00,5476.501,5476.753,5468.141,5463.784,5451.101,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
SPXUSD,2024-07-08,3,bearish,S3_NY: 5m retrace + 1m BOS,2024-07-08 13:56:00+00:00,5570.861,5571.129,5569.861,5555.62,5555.364,stop,-1.0,10031.644736842107,11765.225994103275,1733.5812572611685,0.17281126901299015,4483.255265941845,-0.2961679116608422,0.025020155218223435,0.38667913255592345,727
