day,symbol,scenario,bias,entry_time_utc,pnl_R,events
2024-05-07,SPXUSD,2,bearish,2024-05-07 13:51:00+00:00,0.0,STOP@2024-05-07 13:51:00+00:00
2024-05-08,SPXUSD,1,bullish,2024-05-08 13:44:00+00:00,0.0,STOP@2024-05-08 13:44:00+00:00
2024-05-10,SPXUSD,1,bullish,2024-05-10 14:25:00+00:00,0.0,STOP@2024-05-10 14:30:00+00:00
2024-05-13,SPXUSD,2,bearish,2024-05-13 14:34:00+00:00,1.0,TP1@2024-05-13 14:40:00+00:00 | TP1@2024-05-13 14:41:00+00:00
2024-05-20,SPXUSD,2,bearish,2024-05-20 14:40:00+00:00,0.0,STOP@2024-05-20 14:40:00+00:00
2024-05-24,SPXUSD,2,bearish,2024-05-24 13:45:00+00:00,0.0,STOP@2024-05-24 13:45:00+00:00
2024-05-29,SPXUSD,1,bullish,2024-05-29 14:53:00+00:00,0.0,STOP@2024-05-29 14:53:00+00:00
2024-05-31,SPXUSD,2,bearish,2024-05-31 14:03:00+00:00,0.0,STOP@2024-05-31 14:03:00+00:00
2024-06-06,SPXUSD,1,bullish,2024-06-06 13:45:00+00:00,0.0,STOP@2024-06-06 13:45:00+00:00
2024-06-07,SPXUSD,1,bullish,2024-06-07 14:28:00+00:00,1.1476798924008023,TP1@2024-06-07 15:39:00+00:00 | TP1@2024-06-07 15:40:00+00:00
2024-06-17,SPXUSD,1,bullish,2024-06-17 15:57:00+00:00,1.0,TP1@2024-06-17 16:15:00+00:00 | TP1@2024-06-17 16:16:00+00:00
2024-06-18,SPXUSD,1,bullish,2024-06-18 14:15:00+00:00,0.0,STOP@2024-06-18 14:15:00+00:00
2024-07-08,SPXUSD,2,bearish,2024-07-08 13:44:00+00:00,0.0,STOP@2024-07-08 13:44:00+00:00
2024-07-12,SPXUSD,2,bearish,2024-07-12 14:18:00+00:00,0.0,STOP@2024-07-12 14:27:00+00:00
2024-07-22,SPXUSD,2,bearish,2024-07-22 14:15:00+00:00,0.0,STOP@2024-07-22 14:15:00+00:00
2024-07-24,SPXUSD,1,bullish,2024-07-24 14:03:00+00:00,0.0,STOP@2024-07-24 14:03:00+00:00
2024-07-30,SPXUSD,2,bearish,2024-07-30 16:00:00+00:00,1.0,TP1@2024-07-30 16:06:00+00:00 | TP1@2024-07-30 16:39:00+00:00
2024-07-31,SPXUSD,2,bearish,2024-07-31 13:59:00+00:00,0.0,STOP@2024-07-31 13:59:00+00:00
2024-08-02,SPXUSD,1,bullish,2024-08-02 13:49:00+00:00,0.0,STOP@2024-08-02 14:02:00+00:00
2024-08-06,SPXUSD,1,bullish,2024-08-06 15:07:00+00:00,0.017524106472659284,TP1@2024-08-06 15:08:00+00:00 | TP1@2024-08-06 15:09:00+00:00
2024-08-14,SPXUSD,2,bearish,2024-08-14 14:55:00+00:00,0.7754780208950628,TP1@2024-08-14 15:11:00+00:00 | TP1@2024-08-14 15:12:00+00:00
2024-08-16,SPXUSD,1,bullish,2024-08-16 14:03:00+00:00,0.0,STOP@2024-08-16 14:03:00+00:00
2024-08-20,SPXUSD,2,bearish,2024-08-20 15:38:00+00:00,0.0,STOP@2024-08-20 19:23:00+00:00
2024-08-23,SPXUSD,2,bearish,2024-08-23 14:30:00+00:00,0.0,STOP@2024-08-23 14:30:00+00:00
2024-08-30,SPXUSD,1,bullish,2024-08-30 14:41:00+00:00,0.0,STOP@2024-08-30 14:47:00+00:00
2024-09-05,SPXUSD,1,bullish,2024-09-05 13:56:00+00:00,2.374647887323904,TP1@2024-09-05 14:31:00+00:00 | TP1@2024-09-05 14:33:00+00:00
2024-09-13,SPXUSD,2,bearish,2024-09-13 13:59:00+00:00,0.0,STOP@2024-09-13 13:59:00+00:00
2024-09-18,SPXUSD,2,bearish,2024-09-18 14:08:00+00:00,0.0,STOP@2024-09-18 14:12:00+00:00
2024-09-26,SPXUSD,2,bearish,2024-09-26 14:30:00+00:00,0.0,STOP@2024-09-26 14:30:00+00:00
2024-10-10,SPXUSD,1,bullish,2024-10-10 17:05:00+00:00,0.03762194793296634,TP1@2024-10-10 17:07:00+00:00 | TP1@2024-10-10 17:08:00+00:00
2024-10-17,SPXUSD,2,bearish,2024-10-17 16:04:00+00:00,0.0,STOP@2024-10-17 17:02:00+00:00
2024-10-18,SPXUSD,2,bearish,2024-10-18 14:31:00+00:00,0.0,STOP@2024-10-18 15:08:00+00:00
2024-10-22,SPXUSD,1,bullish,2024-10-22 13:45:00+00:00,0.0,STOP@2024-10-22 13:45:00+00:00
2024-10-23,SPXUSD,1,bullish,2024-10-23 13:45:00+00:00,0.0,STOP@2024-10-23 13:45:00+00:00
2024-10-29,SPXUSD,2,bearish,2024-10-29 14:46:00+00:00,0.0,STOP@2024-10-29 14:46:00+00:00
2024-11-06,SPXUSD,1,bullish,2024-11-06 15:16:00+00:00,0.0,STOP@2024-11-06 15:16:00+00:00
2024-11-06,SPXUSD,1,bullish,2024-11-06 15:16:00+00:00,0.0,STOP@2024-11-06 15:16:00+00:00
2024-11-15,SPXUSD,1,bullish,2024-11-15 14:45:00+00:00,0.0,STOP@2024-11-15 14:45:00+00:00
2024-11-25,SPXUSD,2,bearish,2024-11-25 17:21:00+00:00,0.0,
2024-11-26,SPXUSD,1,bullish,2024-11-26 14:45:00+00:00,0.0,STOP@2024-11-26 14:45:00+00:00
2024-12-06,SPXUSD,2,bearish,2024-12-06 17:40:00+00:00,0.0,STOP@2024-12-06 18:07:00+00:00
2024-12-30,SPXUSD,1,bullish,2024-12-30 16:18:00+00:00,1.0,TP1@2024-12-30 17:01:00+00:00 | TP1@2024-12-30 17:02:00+00:00
