symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,pnl_R,exit_time_utc,exit_price,exit_reason
SPXUSD,2024-01-12,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-01-12 14:39:00+00:00,4799.489,4799.739,4793.731,4759.751,,-1.0,2024-01-12 14:40:00+00:00,4799.739,stop_before_tp1
NSXUSD,2024-01-17,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-01-17 14:39:00+00:00,16634.119,16633.869,16707.242,16769.087,16835.576,-1.0,2024-01-17 14:40:00+00:00,16633.869,stop_before_tp1
SPXUSD,2024-01-22,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-01-22 14:39:00+00:00,4863.382,4863.632,4852.12,4848.24,4843.481,-1.0,2024-01-22 14:40:00+00:00,4863.632,stop_before_tp1
SPXUSD,2024-01-23,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-01-23 14:39:00+00:00,4854.491,4855.689,4850.474,4847.942,,-1.0,2024-01-23 14:40:00+00:00,4855.689,stop_before_tp1
SPXUSD,2024-01-25,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-01-25 14:39:00+00:00,4888.617,4891.132,4884.626,4869.873,4866.117,0.79344,2024-01-25 14:50:00+00:00,4888.617,breakeven_after_tp1
SPXUSD,2024-01-26,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-01-26 14:39:00+00:00,4893.762,4894.012,4888.934,4871.456,,-1.0,2024-01-26 14:40:00+00:00,4894.012,stop_before_tp1
NSXUSD,2024-01-30,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-01-30 14:39:00+00:00,17569.198,17549.871,17573.487,17607.998,17621.11,-1.0,2024-01-30 15:00:00+00:00,17549.871,stop_before_tp1
NSXUSD,2024-02-01,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-02-01 14:39:00+00:00,17219.921,17257.358,4858.064,,,-1.0,2024-02-01 15:09:00+00:00,17257.358,stop_before_tp1
NSXUSD,2024-02-02,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-02-02 14:39:00+00:00,17457.964,17393.303,17522.625,17542.998,,0.82877,2024-02-02 21:00:00+00:00,17457.964,timeout
NSXUSD,2024-02-08,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-02-08 14:39:00+00:00,17756.043,17734.201,17767.708,,17774.176,-1.0,2024-02-08 14:41:00+00:00,17734.201,stop_before_tp1
SPXUSD,2024-02-09,2,bearish,S2_NY: retrace-allowed (retrace_path),2024-02-09 14:39:00+00:00,5003.442,5005.692,4997.777,,4994.433,-1.0,2024-02-09 14:45:00+00:00,5005.692,stop_before_tp1
NSXUSD,2024-02-13,2,bullish,S2_NY: retrace-allowed (retrace_path),2024-02-13 14:39:00+00:00,17580.986,17544.536,17588.999,17875.921,17881.232,0.10992,2024-02-13 15:04:00+00:00,17580.986,breakeven_after_tp1
