symbol,day,scenario,bias,recipe,entry_time_utc,entry_price,stop,tp1,tp2,tp3,diag_smt_block,diag_empty_data,diag_vol_floor,diag_gap,diag_no_obbr,diag_eq_fail,diag_no_bos,diag_disp_fail,diag_timebox,diag_choppy,diag_rr1,atr_open,pnl_R,exit_time_utc,exit_price,exit_reason
NSXUSD,2024-07-01,2,bullish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
SPXUSD,2024-07-02,2,bullish,S2_NY: diagnostics (ATR floor),,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545142857143024,0.0,,,bad_entry_ts
SPXUSD,2024-07-03,2,bearish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
NSXUSD,2024-07-03,2,bullish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
SPXUSD,2024-07-04,2,bearish,S2_NY: diagnostics (ATR floor),,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2650714285714457,0.0,,,bad_entry_ts
SPXUSD,2024-07-05,2,bearish,S2_NY: BOS displacement,2024-07-05 14:45:00+00:00,5538.123,5540.743,5533.367,,5531.577,,,,,,,,,,,,,-1.0,2024-07-05 14:53:00+00:00,5540.743,stop_before_tp1
SPXUSD,2024-07-08,2,bearish,S2_NY: diagnostics (SMT blocked),,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
NSXUSD,2024-07-09,2,bearish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
SPXUSD,2024-07-10,2,bearish,S2_NY: diagnostics (ATR floor),,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4486428571427885,0.0,,,bad_entry_ts
SPXUSD,2024-07-12,2,bearish,S2_NY: BOS displacement,2024-07-12 14:18:00+00:00,5590.361,5592.111,5570.496,,,,,,,,,,,,,,,-1.0,2024-07-12 14:27:00+00:00,5592.111,stop_before_tp1
SPXUSD,2024-07-15,2,bearish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
NSXUSD,2024-07-16,2,bullish,S2_NY: diagnostics (SMT blocked),,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
NSXUSD,2024-07-17,2,bullish,S2_NY: diagnostics (SMT blocked),,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
NSXUSD,2024-07-19,2,bullish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
SPXUSD,2024-07-22,2,bearish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,,0.0,,,bad_entry_ts
SPXUSD,2024-07-23,2,bearish,S2_NY: BOS displacement,2024-07-23 14:09:00+00:00,5564.707,5564.957,5557.464,5547.387,,,,,,,,,,,,,,-1.0,2024-07-23 14:10:00+00:00,5564.957,stop_before_tp1
NSXUSD,2024-07-24,2,bullish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
NSXUSD,2024-07-25,2,bullish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
SPXUSD,2024-07-26,2,bearish,S2_NY: diagnostics (SMT blocked),,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
SPXUSD,2024-07-30,2,bearish,S2_NY: diagnostics (SMT blocked),,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
SPXUSD,2024-07-31,2,bearish,S2_NY: diagnostics (SMT blocked),,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
NSXUSD,2024-08-01,2,bullish,S2_NY: diagnostics (no valid candidates),,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,,,bad_entry_ts
