symbol,day,entry_ts,entry,sl,tp1,tp2,tp3,scenario,bias,tp1_hit,tp2_hit,tp3_hit,exit_reason,exit_ts,pnl_R,pnl_money
SPXUSD,2023-12-12,2023-12-12T16:05:00+01:00,4618.713,4617.706,4619.72,4641.06,4627.41,1,bullish,True,True,True,tp3,2023-12-12T21:06:00+01:00,8.2061,8.21
SPXUSD,2023-12-27,2023-12-27T15:32:00+01:00,4773.491,4772.424,4774.56,4779.88,4780.17,1,bullish,True,True,False,break_even_rest,2023-12-27T16:14:00+01:00,1.9967,2.0
SPXUSD,2023-12-29,2023-12-29T15:31:00+01:00,4784.491,4782.234,4786.75,4795.07,4792.13,1,bullish,True,False,False,break_even,2023-12-29T15:42:00+01:00,0.5,0.5
SPXUSD,2024-01-02,2024-01-02T15:51:00+01:00,4732.62,4731.376,4733.86,4782.18,4778.38,1,bullish,True,False,False,break_even,2024-01-02T15:52:00+01:00,0.5,0.5
SPXUSD,2024-01-03,2024-01-03T15:31:00+01:00,4721.847,4719.861,4723.83,4745.84,4745.88,1,bullish,False,False,False,stop,2024-01-03T15:31:00+01:00,-1.0,-1.0
SPXUSD,2024-01-04,2024-01-04T15:31:00+01:00,4700.876,4700.117,4701.64,4716.88,4715.63,1,bullish,False,False,False,stop,2024-01-04T15:31:00+01:00,-1.0,-1.0
SPXUSD,2024-01-09,2024-01-09T15:53:00+01:00,4736.107,4733.576,4738.64,4756.42,4759.62,1,bullish,True,False,False,break_even,2024-01-09T16:03:00+01:00,0.5,0.5
SPXUSD,2024-01-11,2024-01-11T16:31:00+01:00,4769.861,4767.627,4772.09,4802.42,4798.04,1,bullish,True,False,False,break_even,2024-01-11T16:32:00+01:00,0.5,0.5
SPXUSD,2024-01-16,2024-01-16T15:52:00+01:00,4752.123,4751.726,4752.52,4771.28,4774.53,1,bullish,False,False,False,stop,2024-01-16T15:52:00+01:00,-1.0,-1.0
SPXUSD,2024-01-17,2024-01-17T15:32:00+01:00,4732.266,4731.507,4733.02,4752.82,4767.47,1,bullish,False,False,False,stop,2024-01-17T15:32:00+01:00,-1.0,-1.0
SPXUSD,2024-01-31,2024-01-31T15:46:00+01:00,4896.172,4895.716,4896.63,4912.65,4909.33,1,bullish,False,False,False,stop,2024-01-31T15:46:00+01:00,-1.0,-1.0
SPXUSD,2024-02-05,2024-02-05T16:02:00+01:00,4943.373,4941.876,4944.87,4953.88,4957.38,3,bullish,False,False,False,stop,2024-02-05T16:02:00+01:00,-1.0,-1.0
SPXUSD,2024-02-13,2024-02-13T15:53:00+01:00,4950.394,4950.166,4950.62,5022.23,5021.22,1,bullish,False,False,False,stop,2024-02-13T15:53:00+01:00,-1.0,-1.0
SPXUSD,2024-02-16,2024-02-16T16:18:00+01:00,5014.502,5014.127,5014.88,5042.91,5032.31,1,bullish,True,False,False,break_even,2024-02-16T16:19:00+01:00,0.5,0.5
SPXUSD,2024-02-20,2024-02-20T16:59:00+01:00,4979.637,4979.626,4979.65,4997.43,5002.36,1,bullish,False,False,False,stop,2024-02-20T16:59:00+01:00,-1.0,-1.0
SPXUSD,2024-02-21,2024-02-21T15:49:00+01:00,4960.671,4958.564,4962.78,4972.81,4975.77,1,bullish,True,False,False,break_even,2024-02-21T15:54:00+01:00,0.5,0.5
SPXUSD,2024-03-05,2024-03-05T15:41:00+01:00,5106.549,5106.037,5107.06,5121.75,5126.45,1,bullish,False,False,False,stop,2024-03-05T15:41:00+01:00,-1.0,-1.0
SPXUSD,2024-03-06,2024-03-06T15:31:00+01:00,5111.453,5111.696,5111.21,5084.52,5076.41,1,bearish,False,False,False,stop,2024-03-06T15:31:00+01:00,-1.0,-1.0
SPXUSD,2024-03-22,2024-03-22T15:46:00+01:00,5232.587,5231.882,5233.29,5250.87,5249.1,1,bullish,False,False,False,stop,2024-03-22T15:46:00+01:00,-1.0,-1.0
SPXUSD,2024-04-01,2024-04-01T15:36:00+02:00,5257.376,5256.87,5257.88,5274.68,5274.82,1,bullish,True,False,False,break_even,2024-04-01T15:37:00+02:00,0.5,0.5
SPXUSD,2024-04-11,2024-04-11T15:31:00+02:00,5156.281,5133.549,5179.01,5164.28,5163.58,1,bullish,True,True,True,tp3,2024-04-11T20:06:00+02:00,0.6682,0.67
SPXUSD,2024-04-12,2024-04-12T15:42:00+02:00,5170.481,5169.611,5171.35,5203.36,5202.42,1,bullish,False,False,False,stop,2024-04-12T15:42:00+02:00,-1.0,-1.0
SPXUSD,2024-04-19,2024-04-19T15:33:00+02:00,5013.197,5013.609,5012.78,4964.87,4926.63,3,bearish,False,False,False,stop,2024-04-19T15:33:00+02:00,-1.0,-1.0
SPXUSD,2024-04-26,2024-04-26T15:53:00+02:00,5080.772,5080.297,5081.25,5096.97,5101.38,1,bullish,False,False,False,stop,2024-04-26T15:53:00+02:00,-1.0,-1.0
SPXUSD,2024-04-29,2024-04-29T16:41:00+02:00,5113.114,5115.12,5111.11,5103.25,5103.49,3,bearish,True,False,False,break_even,2024-04-29T17:00:00+02:00,0.5,0.5
SPXUSD,2024-05-08,2024-05-08T15:31:00+02:00,5168.961,5168.723,5169.2,5192.13,5189.35,1,bullish,True,False,False,break_even,2024-05-08T15:33:00+02:00,0.5,0.5
SPXUSD,2024-05-10,2024-05-10T16:46:00+02:00,5235.593,5235.707,5235.48,5217.87,5214.35,1,bearish,False,False,False,stop,2024-05-10T16:46:00+02:00,-1.0,-1.0
SPXUSD,2024-05-16,2024-05-16T15:31:00+02:00,5312.873,5316.677,5309.07,5310.86,5305.88,3,bearish,True,True,False,break_even_rest,2024-05-16T16:37:00+02:00,0.632,0.63
SPXUSD,2024-05-29,2024-05-29T16:54:00+02:00,5272.29,5271.184,5273.4,5290.18,5305.99,1,bullish,False,False,False,stop,2024-05-29T16:56:00+02:00,-1.0,-1.0
SPXUSD,2024-05-30,2024-05-30T15:58:00+02:00,5250.867,5250.927,5250.81,5235.61,5235.36,3,bearish,False,False,False,stop,2024-05-30T15:58:00+02:00,-1.0,-1.0
SPXUSD,2024-06-06,2024-06-06T15:37:00+02:00,5351.571,5350.716,5352.43,5358.81,5360.41,1,bullish,False,False,False,stop,2024-06-06T15:37:00+02:00,-1.0,-1.0
SPXUSD,2024-06-07,2024-06-07T16:52:00+02:00,5347.873,5347.132,5348.61,5361.63,5361.68,1,bullish,False,False,False,stop,2024-06-07T16:52:00+02:00,-1.0,-1.0
SPXUSD,2024-06-11,2024-06-11T16:34:00+02:00,5342.049,5341.193,5342.9,5364.66,5361.81,1,bullish,True,False,False,break_even,2024-06-11T16:35:00+02:00,0.5,0.5
SPXUSD,2024-06-17,2024-06-17T16:31:00+02:00,5423.123,5422.861,5423.38,5438.68,5434.38,1,bullish,False,False,False,stop,2024-06-17T16:31:00+02:00,-1.0,-1.0
SPXUSD,2024-06-21,2024-06-21T16:47:00+02:00,5458.661,5458.42,5458.9,5482.18,5480.83,1,bullish,False,False,False,stop,2024-06-21T16:47:00+02:00,-1.0,-1.0
SPXUSD,2024-07-17,2024-07-17T16:20:00+02:00,5606.073,5605.041,5607.1,5654.39,5666.31,1,bullish,True,False,False,break_even,2024-07-17T16:24:00+02:00,0.5,0.5
SPXUSD,2024-07-24,2024-07-24T15:32:00+02:00,5507.616,5506.252,5508.98,5527.53,5539.57,1,bullish,False,False,False,stop,2024-07-24T15:32:00+02:00,-1.0,-1.0
SPXUSD,2024-07-29,2024-07-29T15:51:00+02:00,5488.252,5489.382,5487.12,5467.36,5463.15,3,bearish,True,False,False,break_even,2024-07-29T15:53:00+02:00,0.5,0.5
SPXUSD,2024-08-02,2024-08-02T16:16:00+02:00,5379.079,5376.561,5381.6,5407.08,5440.44,1,bullish,False,False,False,stop,2024-08-02T16:16:00+02:00,-1.0,-1.0
SPXUSD,2024-08-05,2024-08-05T15:34:00+02:00,5099.731,5097.677,5101.78,5247.11,5314.5,1,bullish,False,False,False,stop,2024-08-05T15:34:00+02:00,-1.0,-1.0
SPXUSD,2024-08-06,2024-08-06T16:42:00+02:00,5201.004,5199.392,5202.62,5266.94,5275.93,1,bullish,False,False,False,stop,2024-08-06T16:42:00+02:00,-1.0,-1.0
SPXUSD,2024-08-16,2024-08-16T16:32:00+02:00,5528.279,5525.773,5530.79,5559.33,5557.58,1,bullish,True,False,False,break_even,2024-08-16T16:33:00+02:00,0.5,0.5
SPXUSD,2024-08-30,2024-08-30T15:31:00+02:00,5622.996,5624.626,5621.37,5604.56,5593.19,1,bearish,True,False,False,break_even,2024-08-30T15:32:00+02:00,0.5,0.5
SPXUSD,2024-09-03,2024-09-03T16:14:00+02:00,5612.99,5612.826,5613.15,5652.38,5655.57,1,bullish,True,False,False,break_even,2024-09-03T16:15:00+02:00,0.5,0.5
SPXUSD,2024-09-11,2024-09-11T16:31:00+02:00,5482.829,5490.872,5474.79,5468.51,5463.86,3,bearish,True,True,True,tp3,2024-09-11T16:40:00+02:00,1.5346,1.53
SPXUSD,2024-09-20,2024-09-20T16:32:00+02:00,5700.499,5698.361,5702.64,5712.24,5715.88,1,bullish,False,False,False,stop,2024-09-20T16:32:00+02:00,-1.0,-1.0
SPXUSD,2024-10-02,2024-10-02T16:48:00+02:00,5686.451,5683.87,5689.03,5704.8,5710.81,1,bullish,True,True,True,tp3,2024-10-02T17:34:00+02:00,4.6362,4.64
SPXUSD,2024-10-10,2024-10-10T15:32:00+02:00,5780.016,5778.277,5781.75,5788.89,5792.61,1,bullish,True,False,False,break_even,2024-10-10T15:33:00+02:00,0.5,0.5
SPXUSD,2024-10-22,2024-10-22T15:44:00+02:00,5823.117,5822.62,5823.61,5846.38,5858.63,1,bullish,False,False,False,stop,2024-10-22T15:44:00+02:00,-1.0,-1.0
SPXUSD,2024-10-31,2024-10-31T15:33:00+01:00,5739.997,5739.38,5740.61,5785.4,5803.1,1,bullish,False,False,False,stop,2024-10-31T15:33:00+01:00,-1.0,-1.0
SPXUSD,2024-11-04,2024-11-04T15:42:00+01:00,5723.364,5720.629,5726.1,5745.38,5747.38,3,bullish,True,False,False,break_even,2024-11-04T15:52:00+01:00,0.5,0.5
SPXUSD,2024-11-15,2024-11-15T15:38:00+01:00,5906.067,5905.034,5907.1,5926.18,5941.73,1,bullish,True,False,False,break_even,2024-11-15T15:43:00+01:00,0.5,0.5
SPXUSD,2024-11-27,2024-11-27T16:27:00+01:00,6006.287,6006.111,6006.46,6021.38,6027.6,1,bullish,False,False,False,stop,2024-11-27T16:27:00+01:00,-1.0,-1.0
SPXUSD,2024-12-03,2024-12-03T15:39:00+01:00,6041.223,6039.837,6042.61,6052.74,6052.56,1,bullish,True,False,False,break_even,2024-12-03T15:41:00+01:00,0.5,0.5
SPXUSD,2024-12-05,2024-12-05T15:38:00+01:00,6084.433,6085.526,6083.34,6080.04,6077.99,1,bearish,False,False,False,stop,2024-12-05T15:40:00+01:00,-1.0,-1.0
SPXUSD,2024-12-09,2024-12-09T16:19:00+01:00,6079.644,6077.277,6082.01,6094.23,6092.97,1,bullish,False,False,False,stop,2024-12-09T16:24:00+01:00,-1.0,-1.0
SPXUSD,2024-12-12,2024-12-12T16:10:00+01:00,6063.886,6063.502,6064.27,6078.32,6078.8,1,bullish,False,False,False,stop,2024-12-12T16:10:00+01:00,-1.0,-1.0
SPXUSD,2024-12-17,2024-12-17T15:33:00+01:00,6049.41,6046.747,6052.07,6064.2,6073.45,1,bullish,False,False,False,stop,2024-12-17T15:36:00+01:00,-1.0,-1.0
SPXUSD,2024-12-23,2024-12-23T15:51:00+01:00,5922.496,5917.999,5926.99,5962.78,5966.83,1,bullish,True,False,False,break_even,2024-12-23T15:55:00+01:00,0.5,0.5
SPXUSD,2024-12-26,2024-12-26T15:56:00+01:00,6007.746,6005.864,6009.63,6040.11,6043.18,1,bullish,True,True,True,tp3,2024-12-26T17:44:00+01:00,9.5058,9.51
SPXUSD,2024-12-30,2024-12-30T15:35:00+01:00,5893.399,5891.52,5895.28,5962.18,5973.24,1,bullish,False,False,False,stop,2024-12-30T15:35:00+01:00,-1.0,-1.0
